Estado|Mundo|Tags
Los hechos quedaron grabados en video}|
Se tiene conocimiento, hasta el momento, de un connacional morelense entre los fallecidos}|
Fue asesinado a tiros la mañana de este jueves tras salir de su domicilio}|
La joven fue víctima de feminicidio en Morelos; se indaga si el agresor fue un hombre quien la contactó a través de redes sociales. La investigación sigue}|
Dos de los cuerpos son de mujeres, confirman autoridades; en Taxco matan a una más
}|
Ken Salazar aplaude al gobernador Mauricio Kuri por las labores que realiza la entidad a fin de mantener la paz y para atraer inversiones}|
